!Table,!Type,!Length,!Name,!Description,!FK,!Required,File,boolean,binary,datetime,id,integer,float,links,ref,string,table,Length,Name,Description,RefDef,Required
Project,table,,Project,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,Project,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
Project,ref,,serviceArea,,ServiceArea,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,serviceArea,rg:None,ServiceArea,rg:[ { 'req' : 'id'} ]
Project,string,,projectNum,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,projectNum,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,string,,jobDesc1,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,jobDesc1,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,string,,jobDesc2,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,string,rg:None,rg:None,jobDesc2,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Project,links,,requests,,Request,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,requests,rg:None,Request,rg:[ { 'req' : 'id'} ]
Project,ref,,primaryContact,Link to the designated Primary Contact.,Contact,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,primaryContact,Link to the designated Primary Contact.,Contact,rg:[ { 'req' : 'id'} ]
Project,links,,contacts,,Contact,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,contacts,rg:None,Contact,rg:[ { 'req' : 'id'} ]
Project,links,,notes,,Note,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,notes,rg:None,Note,rg:[ { 'req' : 'id'} ]
Project,links,,attachments,,Attachment,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,attachments,rg:None,Attachment,rg:[ { 'req' : 'id'} ]
Project,links,,history,,History,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,links,rg:None,rg:None,rg:None,rg:None,history,rg:None,History,rg:[ { 'req' : 'id'} ]
Request,table,,Request,,,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,table,rg:None,Request,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,id,,id,Primary Key,,Y,Defs,rg:None,rg:None,rg:None,id,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,id,Primary Key,rg:None,rg:[ { 'req' : 'id'} ]
Request,ref,,project,,Project,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,project,rg:None,Project,rg:[ { 'req' : 'id'} ]
Request,ref,,localArea,,LocalArea,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,localArea,rg:None,LocalArea,rg:[ { 'req' : 'id'} ]
Request,ref,,equipmentType,,EquipmentType,,Defs,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ref,rg:None,rg:None,rg:None,equipmentType,rg:None,EquipmentType,rg:[ { 'req' : 'id'} ]
Request,integer,,equipmentCount,,,,Defs,rg:None,rg:None,rg:None,rg:None,integer,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,equipmentCount,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,integer,,expectedHours,,,,Defs,rg:None,rg:None,rg:None,rg:None,integer,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,expectedHours,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,datetime,,expectedStartDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,expectedStartDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
Request,datetime,,expectedEndDate,,,,Defs,rg:None,rg:None,datetime,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,expectedEndDate,rg:None,rg:None,rg:[ { 'req' : 'id'} ]
